Title,channel_title,published_at,view_count,like_count,comment_count,definition,duration_seconds
"100-Day Roadmap to Master #pythonprogramming  #javaprogramming , and #javascript",Coding With Sagar,2024-08-11 11:09:23+00:00,3340615,193262,1962,hd,61
Create a Spiderman using python coding |python programer| #tech #python #coding,Tech Owner,2022-06-28 04:40:16+00:00,2876992,117152,1177,hd,59
Python In Telugu For Beginners || Python Complete Course In Telugu || Python suresh techs || Python,Suresh techs,2021-05-29 02:30:14+00:00,2617324,57104,4101,hd,40383
Lecture 3 : List & Tuple in Python | Python Full Course,Shradha Khapra,2024-01-29 15:19:16+00:00,2491917,34224,1661,hd,2506
Python Full Course For Beginners [Tutorial] 2023 | Python One Shot | College Wallah,College Wallah,2023-09-24 13:30:12+00:00,2478113,53827,1437,hd,41934
Data Analytics FULL Course for Beginners to Pro in 29 HOURS - 2025 Edition,WsCube Tech,2024-01-07 13:30:10+00:00,7612848,210677,5817,hd,105227
"Python for Data Science - Course for Beginners (Learn Python, Pandas, NumPy, Matplotlib)",freeCodeCamp.org,2020-06-02 14:05:17+00:00,4567664,98284,1704,hd,44392
Data Science Full Course - Learn Data Science in 10 Hours | Data Science For Beginners | Edureka,edureka!,2019-08-18 08:30:02+00:00,4548678,90600,752,hd,37437
Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,Simplilearn,2018-12-04 14:30:01+00:00,4462089,62482,1101,hd,278
What REALLY is Data Science? Told by a Data Scientist,Joma Tech,2018-06-23 01:51:50+00:00,4089855,154299,3757,hd,633
"Data Analysis with Python - Full Course for Beginners (Numpy, Pandas, Matplotlib, Seaborn)",freeCodeCamp.org,2020-04-15 13:19:55+00:00,3955940,79316,1074,hd,15733
Statistics - A Full University Course on Data Science Basics,freeCodeCamp.org,2019-06-12 14:59:55+00:00,3554003,77271,1156,hd,29704
AI VS ML VS DL VS Data Science,Krish Naik,2019-11-26 14:40:58+00:00,2959071,70501,1783,hd,585
What is Data Science? | Complete RoadMap | Simply Explained,Apna College,2021-11-11 16:23:54+00:00,2657742,108710,2843,hd,474
"IBM Data Analyst Complete Course | Data Analyst Tutorial For Beginners,",My Lesson,2022-11-17 23:08:16+00:00,2596685,73753,851,hd,55103
What is Data Science? | Completely RoadMap | Simply Explained by Shradha Khapra Ma'am,Apna College,2023-09-13 15:15:55+00:00,2066589,73793,2397,hd,756
Data Science for Beginners | Google Advanced Data Analytics Certificate,Google Career Certificates,2023-04-06 17:00:03+00:00,1928768,1785,91,hd,5935
What is Data Science?,CodeWithHarry,2021-06-07 16:00:33+00:00,1909497,64869,1540,hd,390
Fix this before you choose Data Science! #datascientist #shorts #developer #programming,BEPEC,2021-07-08 12:38:50+00:00,1928437,58538,398,hd,31
Don't Become a Data Analyst if,Sundas Khalid,2024-08-13 14:08:48+00:00,2358888,62621,888,hd,60
Data Engineer vs Data Scientist #shorts,Income Interviews,2023-06-13 18:35:43+00:00,1889198,63727,423,hd,60
Data Analyst Explained in 1 Minute ! 📚 #shorts #dataanalyst,Error Makes Clever,2023-05-21 08:29:54+00:00,1840771,124355,513,hd,59
Is Data Science Hard or Easy?? #dataanalytics #datascience,BEPEC,2023-05-16 13:57:18+00:00,1772439,89929,329,hd,59
Excel for Data Analytics - Full Course for Beginners,Luke Barousse,2024-10-14 12:01:06+00:00,1647329,42627,2162,hd,39583
All Machine Learning algorithms explained in 17 min,Infinite Codes,2024-09-17 08:57:32+00:00,1568337,59865,553,hd,990
How I Would Learn Python FAST (if I could start over),Thu Vu,2024-06-19 15:04:05+00:00,1471305,51961,1018,hd,739
How to become a Data Analyst? | Complete Roadmap for Data Analyst🔥,CodeWithHarry,2024-07-16 11:30:17+00:00,1389516,46894,1590,hd,920
AI-ML Engineering Vs Computer Science Engineering which one would you choose?,CareerGuide.com,2025-06-13 05:04:46+00:00,1745232,43980,656,hd,45
Real Salary of Data Scientist in Bangalore!,Suman Mpm,2025-02-04 14:53:19+00:00,1733160,44988,294,hd,50
Build 12 Data Science Apps with Python and Streamlit - Full Course,freeCodeCamp.org,2021-01-07 15:24:06+00:00,1336420,32009,538,hd,11512
Data Science FULL Course for Beginners in 27 HOURS - 2025 Edition,WsCube Tech,2024-06-11 13:30:30+00:00,1324303,38295,973,hd,100125
Python for Data Science Full Course | Data Science Tutorials for Beginners in 2022 | Great Learning,Great Learning,2021-03-07 06:31:52+00:00,1284953,29330,838,hd,36728
How to learn Data Science? In Short,Apna College,2023-10-19 15:41:19+00:00,1303932,84256,274,hd,47
Data Analyst vs Data Scientist vs  vs Data Engineer | Difference Explained,Apna College,2024-01-13 15:03:11+00:00,1122469,36356,1329,hd,809
How much does a DATA SCIENTIST make?,Broke Brothers,2023-04-18 14:52:59+00:00,1126651,35556,327,hd,34
Full Guide Belajar CODING untuk Pemula 💻📚,xaviera putri,2023-12-01 12:00:23+00:00,1105250,49504,1163,hd,1150
Learn SQL Beginner to Advanced in Under 4 Hours,Alex The Analyst,2024-10-08 12:00:27+00:00,1100219,21763,833,hd,14698
Intro a Data Science con Python Desde Cero,Frank Andrade,2021-12-28 17:00:46+00:00,1074896,13857,270,hd,13892
Data Engineer vs. Data Scientist ft. @eczachly_,Sundas Khalid,2024-11-18 15:08:49+00:00,1552154,39747,405,hd,53
Learn Machine Learning Like a GENIUS and Not Waste Time,Infinite Codes,2024-11-14 15:44:06+00:00,1066052,66417,704,hd,903
Python for Data Analytics - Full Course for Beginners,Luke Barousse,2024-06-07 12:01:05+00:00,1030756,28391,872,hd,40181
Software Engineer vs Data Scientist 😎 ft. @SajjaadKhader & Megan,Sundas Khalid,2024-04-25 04:22:53+00:00,1271132,32844,308,hd,29
I can't STOP reading these Machine Learning Books!,Nicholas Renotte,2023-01-24 02:32:13+00:00,1189069,73052,250,hd,26
How much does a DATA SCIENTIST make? #shorts #ytshorts #techjobsin2minutes,Tech Stories in 2 Minutes,2024-06-19 15:00:40+00:00,1287173,31618,264,hd,35
Data Science Course for Beginners (11 Hours Data Science Tutorial),Great Learning,2020-02-03 12:56:37+00:00,1006830,29330,511,hd,40167
How I'd become a data analyst (if i had to start over) in 2025,Agatha,2024-01-12 14:00:27+00:00,966949,46020,1144,hd,537
Data Analyst Salary & Job Market in 2025 #DataAnalyst #DataScience #DataAnalystSalary  #BigData #ai,Zubani Jack,2024-10-16 11:45:53+00:00,1231493,40648,433,hd,50
AI vs ML vs DL vs DS: What's the Difference?,GeeksforGeeks,2025-01-25 03:30:15+00:00,1335691,55591,146,hd,62
Software Engineer Vs Data Science in 2025 👀 @meglovesdata,Sajjaad Khader,2025-05-12 14:44:00+00:00,1769525,27075,493,hd,32
HTML Tutorial for Beginners | Complete HTML with Notes & Code,Apna College,2022-03-22 15:30:08+00:00,26688082,494207,24551,hd,7560
How to Make a Website in 10 mins - 2025 Simple & Easy,Website Learners,2018-01-03 15:32:33+00:00,19583119,396640,16522,hd,742
HTML & CSS Full Course - Beginner to Pro,SuperSimpleDev,2022-02-05 16:41:52+00:00,17223417,313182,16949,hd,23484
